chunk_id,filename,source_doc,chunk_index,chars
CA003::c000,CA003_c000.md,CA003,0,215
CA003::c001,CA003_c001.md,CA003,1,360
CA003::c002,CA003_c002.md,CA003,2,336
CA003::c003,CA003_c003.md,CA003,3,338
CA003::c004,CA003_c004.md,CA003,4,305
CA003::c005,CA003_c005.md,CA003,5,213
CA003::c006,CA003_c006.md,CA003,6,357
CA003::c007,CA003_c007.md,CA003,7,368
CA003::c008,CA003_c008.md,CA003,8,243
CA003::c009,CA003_c009.md,CA003,9,262
CA003::c010,CA003_c010.md,CA003,10,345
CA003::c011,CA003_c011.md,CA003,11,230
CA003::c012,CA003_c012.md,CA003,12,394
CA003::c013,CA003_c013.md,CA003,13,244
CA003::c014,CA003_c014.md,CA003,14,377
CA003::c015,CA003_c015.md,CA003,15,338
CA003::c016,CA003_c016.md,CA003,16,331
CA003::c017,CA003_c017.md,CA003,17,143
CA004::c000,CA004_c000.md,CA004,0,236
CA004::c001,CA004_c001.md,CA004,1,390
CA004::c002,CA004_c002.md,CA004,2,379
CA004::c003,CA004_c003.md,CA004,3,370
CA004::c004,CA004_c004.md,CA004,4,369
CA004::c005,CA004_c005.md,CA004,5,294
CA004::c006,CA004_c006.md,CA004,6,353
CA004::c007,CA004_c007.md,CA004,7,358
CA004::c008,CA004_c008.md,CA004,8,348
CA004::c009,CA004_c009.md,CA004,9,390
CA004::c010,CA004_c010.md,CA004,10,355
CA004::c011,CA004_c011.md,CA004,11,267
CA004::c012,CA004_c012.md,CA004,12,266
CA004::c013,CA004_c013.md,CA004,13,266
CA004::c014,CA004_c014.md,CA004,14,281
CA004::c015,CA004_c015.md,CA004,15,261
CA004::c016,CA004_c016.md,CA004,16,202
CA005::c000,CA005_c000.md,CA005,0,337
CA005::c001,CA005_c001.md,CA005,1,218
CA005::c002,CA005_c002.md,CA005,2,370
CA005::c003,CA005_c003.md,CA005,3,388
CA005::c004,CA005_c004.md,CA005,4,207
CA005::c005,CA005_c005.md,CA005,5,283
CA005::c006,CA005_c006.md,CA005,6,304
CA005::c007,CA005_c007.md,CA005,7,277
CA005::c008,CA005_c008.md,CA005,8,223
CA005::c009,CA005_c009.md,CA005,9,362
CA005::c010,CA005_c010.md,CA005,10,294
CA005::c011,CA005_c011.md,CA005,11,303
CA005::c012,CA005_c012.md,CA005,12,377
CA005::c013,CA005_c013.md,CA005,13,398
CA005::c014,CA005_c014.md,CA005,14,317
CA005::c015,CA005_c015.md,CA005,15,217
CA005::c016,CA005_c016.md,CA005,16,377
CA005::c017,CA005_c017.md,CA005,17,376
CA005::c018,CA005_c018.md,CA005,18,89
CA009::c000,CA009_c000.md,CA009,0,238
CA009::c001,CA009_c001.md,CA009,1,257
CA009::c002,CA009_c002.md,CA009,2,395
CA009::c003,CA009_c003.md,CA009,3,392
CA009::c004,CA009_c004.md,CA009,4,293
CA009::c005,CA009_c005.md,CA009,5,346
CA009::c006,CA009_c006.md,CA009,6,299
CA009::c007,CA009_c007.md,CA009,7,373
CA009::c008,CA009_c008.md,CA009,8,365
CA009::c009,CA009_c009.md,CA009,9,385
CA009::c010,CA009_c010.md,CA009,10,395
CA009::c011,CA009_c011.md,CA009,11,369
CA009::c012,CA009_c012.md,CA009,12,375
CA009::c013,CA009_c013.md,CA009,13,214
CA010::c000,CA010_c000.md,CA010,0,248
CA010::c001,CA010_c001.md,CA010,1,378
CA010::c002,CA010_c002.md,CA010,2,384
CA010::c003,CA010_c003.md,CA010,3,358
CA010::c004,CA010_c004.md,CA010,4,334
CA010::c005,CA010_c005.md,CA010,5,299
CA010::c006,CA010_c006.md,CA010,6,245
CA010::c007,CA010_c007.md,CA010,7,352
CA010::c008,CA010_c008.md,CA010,8,322
CA010::c009,CA010_c009.md,CA010,9,320
CA010::c010,CA010_c010.md,CA010,10,264
CA010::c011,CA010_c011.md,CA010,11,310
CA010::c012,CA010_c012.md,CA010,12,378
CA010::c013,CA010_c013.md,CA010,13,286
CA011::c000,CA011_c000.md,CA011,0,377
CA011::c001,CA011_c001.md,CA011,1,183
CA011::c002,CA011_c002.md,CA011,2,233
CA011::c003,CA011_c003.md,CA011,3,352
CA011::c004,CA011_c004.md,CA011,4,380
CA011::c005,CA011_c005.md,CA011,5,279
CA011::c006,CA011_c006.md,CA011,6,217
CA011::c007,CA011_c007.md,CA011,7,323
CA011::c008,CA011_c008.md,CA011,8,230
CA011::c009,CA011_c009.md,CA011,9,337
CA011::c010,CA011_c010.md,CA011,10,365
CA011::c011,CA011_c011.md,CA011,11,152
CA011::c012,CA011_c012.md,CA011,12,392
CA011::c013,CA011_c013.md,CA011,13,389
CA011::c014,CA011_c014.md,CA011,14,237
CA013::c000,CA013_c000.md,CA013,0,390
CA013::c001,CA013_c001.md,CA013,1,211
CA013::c002,CA013_c002.md,CA013,2,396
CA013::c003,CA013_c003.md,CA013,3,342
CA013::c004,CA013_c004.md,CA013,4,326
CA013::c005,CA013_c005.md,CA013,5,389
CA013::c006,CA013_c006.md,CA013,6,229
CA013::c007,CA013_c007.md,CA013,7,377
CA013::c008,CA013_c008.md,CA013,8,262
CA013::c009,CA013_c009.md,CA013,9,262
CA013::c010,CA013_c010.md,CA013,10,185
CA013::c011,CA013_c011.md,CA013,11,390
CA013::c012,CA013_c012.md,CA013,12,346
CA013::c013,CA013_c013.md,CA013,13,382
CA014::c000,CA014_c000.md,CA014,0,284
CA014::c001,CA014_c001.md,CA014,1,364
CA014::c002,CA014_c002.md,CA014,2,97
CA014::c003,CA014_c003.md,CA014,3,398
CA014::c004,CA014_c004.md,CA014,4,323
CA014::c005,CA014_c005.md,CA014,5,310
CA014::c006,CA014_c006.md,CA014,6,350
CA014::c007,CA014_c007.md,CA014,7,245
CA014::c008,CA014_c008.md,CA014,8,266
CA014::c009,CA014_c009.md,CA014,9,259
CA014::c010,CA014_c010.md,CA014,10,195
CA014::c011,CA014_c011.md,CA014,11,321
CA014::c012,CA014_c012.md,CA014,12,314
CA014::c013,CA014_c013.md,CA014,13,257
CA014::c014,CA014_c014.md,CA014,14,255
CA014::c015,CA014_c015.md,CA014,15,295
CA015::c000,CA015_c000.md,CA015,0,249
CA015::c001,CA015_c001.md,CA015,1,394
CA015::c002,CA015_c002.md,CA015,2,281
CA015::c003,CA015_c003.md,CA015,3,392
CA015::c004,CA015_c004.md,CA015,4,389
CA015::c005,CA015_c005.md,CA015,5,246
CA015::c006,CA015_c006.md,CA015,6,185
CA015::c007,CA015_c007.md,CA015,7,376
CA015::c008,CA015_c008.md,CA015,8,393
CA015::c009,CA015_c009.md,CA015,9,149
CA015::c010,CA015_c010.md,CA015,10,320
CA015::c011,CA015_c011.md,CA015,11,318
CA015::c012,CA015_c012.md,CA015,12,318
CA015::c013,CA015_c013.md,CA015,13,352
CA015::c014,CA015_c014.md,CA015,14,307
CA020::c000,CA020_c000.md,CA020,0,227
CA020::c001,CA020_c001.md,CA020,1,391
CA020::c002,CA020_c002.md,CA020,2,247
CA020::c003,CA020_c003.md,CA020,3,394
CA020::c004,CA020_c004.md,CA020,4,341
CA020::c005,CA020_c005.md,CA020,5,337
CA020::c006,CA020_c006.md,CA020,6,360
CA020::c007,CA020_c007.md,CA020,7,333
CA020::c008,CA020_c008.md,CA020,8,361
CA020::c009,CA020_c009.md,CA020,9,295
CA020::c010,CA020_c010.md,CA020,10,153
CA020::c011,CA020_c011.md,CA020,11,389
CA020::c012,CA020_c012.md,CA020,12,391
CA020::c013,CA020_c013.md,CA020,13,264
CA020::c014,CA020_c014.md,CA020,14,196
CA022::c000,CA022_c000.md,CA022,0,232
CA022::c001,CA022_c001.md,CA022,1,278
CA022::c002,CA022_c002.md,CA022,2,341
CA022::c003,CA022_c003.md,CA022,3,226
CA022::c004,CA022_c004.md,CA022,4,253
CA022::c005,CA022_c005.md,CA022,5,352
CA022::c006,CA022_c006.md,CA022,6,364
CA022::c007,CA022_c007.md,CA022,7,370
CA022::c008,CA022_c008.md,CA022,8,316
CA022::c009,CA022_c009.md,CA022,9,335
CA022::c010,CA022_c010.md,CA022,10,382
CA022::c011,CA022_c011.md,CA022,11,359
CA022::c012,CA022_c012.md,CA022,12,381
CA022::c013,CA022_c013.md,CA022,13,387
CA022::c014,CA022_c014.md,CA022,14,340
CA022::c015,CA022_c015.md,CA022,15,252
CA022::c016,CA022_c016.md,CA022,16,182
CA022::c017,CA022_c017.md,CA022,17,308
CA024::c000,CA024_c000.md,CA024,0,312
CA024::c001,CA024_c001.md,CA024,1,385
CA024::c002,CA024_c002.md,CA024,2,270
CA024::c003,CA024_c003.md,CA024,3,388
CA024::c004,CA024_c004.md,CA024,4,268
CA024::c005,CA024_c005.md,CA024,5,315
CA024::c006,CA024_c006.md,CA024,6,355
CA024::c007,CA024_c007.md,CA024,7,398
CA024::c008,CA024_c008.md,CA024,8,292
CA024::c009,CA024_c009.md,CA024,9,356
CA024::c010,CA024_c010.md,CA024,10,269
CA024::c011,CA024_c011.md,CA024,11,341
CA024::c012,CA024_c012.md,CA024,12,399
CA025::c000,CA025_c000.md,CA025,0,361
CA025::c001,CA025_c001.md,CA025,1,292
CA025::c002,CA025_c002.md,CA025,2,321
CA025::c003,CA025_c003.md,CA025,3,212
CA025::c004,CA025_c004.md,CA025,4,287
CA025::c005,CA025_c005.md,CA025,5,364
CA025::c006,CA025_c006.md,CA025,6,299
CA025::c007,CA025_c007.md,CA025,7,398
CA025::c008,CA025_c008.md,CA025,8,279
CA025::c009,CA025_c009.md,CA025,9,149
CA025::c010,CA025_c010.md,CA025,10,399
CA025::c011,CA025_c011.md,CA025,11,321
CA025::c012,CA025_c012.md,CA025,12,148
CA025::c013,CA025_c013.md,CA025,13,387
CA025::c014,CA025_c014.md,CA025,14,268
CA025::c015,CA025_c015.md,CA025,15,232
CA025::c016,CA025_c016.md,CA025,16,359
CA025::c017,CA025_c017.md,CA025,17,112
CA026::c000,CA026_c000.md,CA026,0,249
CA026::c001,CA026_c001.md,CA026,1,329
CA026::c002,CA026_c002.md,CA026,2,394
CA026::c003,CA026_c003.md,CA026,3,381
CA026::c004,CA026_c004.md,CA026,4,387
CA026::c005,CA026_c005.md,CA026,5,358
CA026::c006,CA026_c006.md,CA026,6,394
CA026::c007,CA026_c007.md,CA026,7,371
CA026::c008,CA026_c008.md,CA026,8,117
CA026::c009,CA026_c009.md,CA026,9,328
CA026::c010,CA026_c010.md,CA026,10,167
CA026::c011,CA026_c011.md,CA026,11,306
CA026::c012,CA026_c012.md,CA026,12,345
CA026::c013,CA026_c013.md,CA026,13,156
CA026::c014,CA026_c014.md,CA026,14,258
CA026::c015,CA026_c015.md,CA026,15,388
CA026::c016,CA026_c016.md,CA026,16,350
CA026::c017,CA026_c017.md,CA026,17,134
CA027::c000,CA027_c000.md,CA027,0,390
CA027::c001,CA027_c001.md,CA027,1,246
CA027::c002,CA027_c002.md,CA027,2,320
CA027::c003,CA027_c003.md,CA027,3,305
CA027::c004,CA027_c004.md,CA027,4,205
CA027::c005,CA027_c005.md,CA027,5,315
CA027::c006,CA027_c006.md,CA027,6,379
CA027::c007,CA027_c007.md,CA027,7,290
CA027::c008,CA027_c008.md,CA027,8,337
