chunk_id,filename,source_doc,chunk_index,chars
SA011::c000,SA011_c000.md,SA011,0,374
SA011::c001,SA011_c001.md,SA011,1,399
SA011::c002,SA011_c002.md,SA011,2,396
SA011::c003,SA011_c003.md,SA011,3,343
SA011::c004,SA011_c004.md,SA011,4,391
SA011::c005,SA011_c005.md,SA011,5,363
SA011::c006,SA011_c006.md,SA011,6,326
SA011::c007,SA011_c007.md,SA011,7,344
SA011::c008,SA011_c008.md,SA011,8,399
SA011::c009,SA011_c009.md,SA011,9,317
SA011::c010,SA011_c010.md,SA011,10,314
SA011::c011,SA011_c011.md,SA011,11,184
SA011::c012,SA011_c012.md,SA011,12,388
SA011::c013,SA011_c013.md,SA011,13,335
SA011::c014,SA011_c014.md,SA011,14,369
SA011::c015,SA011_c015.md,SA011,15,378
SA011::c016,SA011_c016.md,SA011,16,337
SA011::c017,SA011_c017.md,SA011,17,381
SA011::c018,SA011_c018.md,SA011,18,382
SA011::c019,SA011_c019.md,SA011,19,335
SA011::c020,SA011_c020.md,SA011,20,398
SA011::c021,SA011_c021.md,SA011,21,350
SA011::c022,SA011_c022.md,SA011,22,316
SA011::c023,SA011_c023.md,SA011,23,377
SA011::c024,SA011_c024.md,SA011,24,164
SA011::c025,SA011_c025.md,SA011,25,328
SA011::c026,SA011_c026.md,SA011,26,349
SA011::c027,SA011_c027.md,SA011,27,316
SA011::c028,SA011_c028.md,SA011,28,242
SA011::c029,SA011_c029.md,SA011,29,394
SA011::c030,SA011_c030.md,SA011,30,304
SA011::c031,SA011_c031.md,SA011,31,265
SA011::c032,SA011_c032.md,SA011,32,375
SA011::c033,SA011_c033.md,SA011,33,99
SA015::c000,SA015_c000.md,SA015,0,380
SA015::c001,SA015_c001.md,SA015,1,396
SA015::c002,SA015_c002.md,SA015,2,240
SA015::c003,SA015_c003.md,SA015,3,396
SA015::c004,SA015_c004.md,SA015,4,396
SA015::c005,SA015_c005.md,SA015,5,370
SA015::c006,SA015_c006.md,SA015,6,199
SA015::c007,SA015_c007.md,SA015,7,359
SA015::c008,SA015_c008.md,SA015,8,351
SA015::c009,SA015_c009.md,SA015,9,395
SA015::c010,SA015_c010.md,SA015,10,392
SA015::c011,SA015_c011.md,SA015,11,378
SA015::c012,SA015_c012.md,SA015,12,325
SA015::c013,SA015_c013.md,SA015,13,387
SA015::c014,SA015_c014.md,SA015,14,395
SA015::c015,SA015_c015.md,SA015,15,241
SA015::c016,SA015_c016.md,SA015,16,302
SA015::c017,SA015_c017.md,SA015,17,259
SA015::c018,SA015_c018.md,SA015,18,390
SA015::c019,SA015_c019.md,SA015,19,332
SA015::c020,SA015_c020.md,SA015,20,175
SA015::c021,SA015_c021.md,SA015,21,280
SA015::c022,SA015_c022.md,SA015,22,188
SA015::c023,SA015_c023.md,SA015,23,393
SA015::c024,SA015_c024.md,SA015,24,395
SA019::c000,SA019_c000.md,SA019,0,156
SA019::c001,SA019_c001.md,SA019,1,368
SA019::c002,SA019_c002.md,SA019,2,297
